scenario,mse_pred,mse_xhat
ne515i1,81.460106,7.722469
ne515i1,81.460106,5.5184717
ne515i1,81.460106,8.723302
ne515i1,81.460106,10.267619
ne515i2,129.58232,6.7879066
ne515i2,129.58232,2.4641116
ne515i2,129.58232,8.750337
ne515i2,129.58232,4.192404
ne515i2,129.58232,6.565482
nne505i1,121.33596,2.8324654
nne505i1,121.33596,1.7128047
nne505i1,121.33596,1.4626337
nne505i1,121.33596,2.4291706
nne505i1,121.33596,1.4077809
nne505i2,170.09795,2.39049
nne505i2,170.09795,1.5901263
nne505i2,170.09795,2.6813774
nne505i2,170.09795,2.9653637
nne505i2,170.09795,4.376033
nne510i1,115.4647,3.9458373
nne510i1,115.4647,1.3313823
nne510i1,115.4647,5.971004
nne510i1,115.4647,4.241719
nne510i1,115.4647,6.423704
nne510i2,170.65764,2.759287
nne510i2,170.65764,2.6591876
nne510i2,170.65764,4.2077713
nne510i2,170.65764,9.868994
nne510i2,170.65764,1.7694902
nne515i1,112.96729,15.784824
nne515i1,112.96729,4.7151837
nne515i1,112.96729,5.107271
nne515i1,112.96729,4.228915
nne515i1,112.96729,10.521771
nne515i2,170.62056,4.3008904
nne515i2,170.62056,4.7466145
nne515i2,170.62056,3.7681594
nne515i2,170.62056,6.4914484
nne515i2,170.62056,3.5355725
nnw505i1,154.2458,1.1431563
nnw505i1,154.2458,1.1699885
nnw505i1,154.2458,3.214672
nnw505i1,154.2458,1.4743143
nnw505i1,154.2458,4.273956
nnw505i2,212.95084,3.4904065
nnw505i2,212.95084,2.555994
nnw505i2,212.95084,2.7081954
nnw505i2,212.95084,6.624617
nnw505i2,212.95084,3.7629442
nnw510i1,203.19995,2.018577
nnw510i1,203.19995,4.882767
nnw510i1,203.19995,4.4093275
nnw510i1,203.19995,9.060531
nnw510i1,203.19995,4.34125
nnw510i2,281.96405,10.862048
nnw510i2,281.96405,14.441872
nnw510i2,281.96405,11.0671835
nnw510i2,281.96405,13.174491
nnw510i2,281.96405,13.458047
nnw515i1,241.01892,8.201107
nnw515i1,241.01892,4.9585295
nnw515i1,241.01892,5.1400776
nnw515i1,241.01892,7.8584476
nnw515i1,241.01892,8.9247
nnw515i2,339.15112,21.126677
nnw515i2,339.15112,26.201384
nnw515i2,339.15112,19.610334
nnw515i2,339.15112,21.324348
nnw515i2,339.15112,26.467663
nw505i1,165.49045,1.3489147
nw505i1,165.49045,6.2497206
nw505i1,165.49045,3.7245595
nw505i1,165.49045,6.0528655
nw505i1,165.49045,3.8805552
nw505i2,228.68683,7.152623
nw505i2,228.68683,8.038517
nw505i2,228.68683,6.338031
nw505i2,228.68683,5.1300173
nw505i2,228.68683,10.454824
nw510i1,239.37932,6.166921
nw510i1,239.37932,8.173757
nw510i1,239.37932,8.013327
nw510i1,239.37932,8.017279
nw510i1,239.37932,13.034676
nw510i2,329.40524,22.453997
nw510i2,329.40524,24.898762
nw510i2,329.40524,29.704235
nw510i2,329.40524,21.422552
nw510i2,329.40524,15.8308115
nw515i1,292.42502,20.450712
nw515i1,292.42502,23.346983
nw515i1,292.42502,17.225859
nw515i1,292.42502,20.799858
nw515i1,292.42502,17.033842
nw515i2,405.57126,44.110348
nw515i2,405.57126,55.42325
nw515i2,405.57126,50.31613
nw515i2,405.57126,50.165497
nw515i2,405.57126,46.66975
w505i1,147.03455,2.8694701
w505i1,147.03455,2.0185547
w505i1,147.03455,1.1516494
w505i1,147.03455,3.549174
w505i1,147.03455,2.1633222
w505i2,208.52895,11.445116
w505i2,208.52895,8.51571
w505i2,208.52895,6.053808
w505i2,208.52895,7.203874
w505i2,208.52895,7.862527
w510i1,226.33522,9.845105
w510i1,226.33522,5.0011573
w510i1,226.33522,19.15384
w510i1,226.33522,10.145821
w510i1,226.33522,7.933245
w510i2,320.22705,36.441467
w510i2,320.22705,32.167847
w510i2,320.22705,27.421436
w510i2,320.22705,26.002308
w510i2,320.22705,31.995512
w515i1,225.73347,7.814176
w515i1,225.73347,4.1698885
w515i1,225.73347,5.2432995
w515i1,225.73347,6.9661794
w515i1,225.73347,5.6188293
w515i2,329.34058,24.52964
w515i2,329.34058,20.197346
w515i2,329.34058,20.315912
w515i2,329.34058,18.223772
w515i2,329.34058,17.430803
wnw505i1,166.64336,1.4352025
wnw505i1,166.64336,4.2827635
wnw505i1,166.64336,1.1795906
wnw505i1,166.64336,3.0583317
wnw505i1,166.64336,5.6619105
wnw505i2,231.4127,6.836716
wnw505i2,231.4127,10.807026
wnw505i2,231.4127,6.979602
wnw505i2,231.4127,10.792451
wnw505i2,231.4127,10.723484
wnw510i1,249.14122,18.310757
wnw510i1,249.14122,11.324656
wnw510i1,249.14122,7.7185283
wnw510i1,249.14122,17.762693
wnw510i1,249.14122,8.163952
wnw510i2,347.12494,27.191471
wnw510i2,347.12494,30.835201
wnw510i2,347.12494,27.28994
wnw510i2,347.12494,26.011204
wnw510i2,347.12494,29.060179
wnw515i1,279.3082,11.982007
wnw515i1,279.3082,14.019183
wnw515i1,279.3082,13.792585
wnw515i1,279.3082,15.167765
wnw515i1,279.3082,16.585634
wnw515i2,394.15048,36.986084
wnw515i2,394.15048,38.268234
wnw515i2,394.15048,50.989883
wnw515i2,394.15048,43.03979
wnw515i2,394.15048,30.03751
wsw505i1,110.02339,1.5557269
wsw505i1,110.02339,1.369279
wsw505i1,110.02339,3.495285
wsw505i1,110.02339,1.5106989
wsw505i1,110.02339,2.3568408
wsw505i2,163.46645,2.1943944
wsw505i2,163.46645,3.4846725
wsw505i2,163.46645,2.7755973
wsw505i2,163.46645,2.761273
wsw505i2,163.46645,2.4049006
wsw510i1,132.5826,0.9033524
wsw510i1,132.5826,4.083834
wsw510i1,132.5826,3.3601837
wsw510i1,132.5826,2.8921866
wsw510i1,132.5826,1.2767966
wsw510i2,199.90515,1.9923136
wsw510i2,199.90515,11.626483
wsw510i2,199.90515,4.054914
wsw510i2,199.90515,6.3535547
wsw510i2,199.90515,3.0688913
wsw515i1,116.23014,9.526408
wsw515i1,116.23014,13.284878
wsw515i1,116.23014,12.48434
wsw515i1,116.23014,11.963643
wsw515i1,116.23014,10.451919
wsw515i2,181.31163,4.4338164
wsw515i2,181.31163,2.9532073
wsw515i2,181.31163,3.270979
wsw515i2,181.31163,3.7457438
wsw515i2,181.31163,2.599657
