scenario,mse_pred,mse_xhat
ne510i2,145.5951,14.114105
ne510i2,145.5951,8.985253
ne510i2,145.5951,14.286633
ne510i2,145.5951,16.754797
ne510i2,145.5951,16.352924
ne515i1,60.342514,10.940428
ne515i1,60.342514,25.168207
ne515i1,60.342514,13.750365
ne515i1,60.342514,11.668556
ne515i1,60.342514,25.006062
ne515i2,175.70752,32.540287
ne515i2,175.70752,37.29506
ne515i2,175.70752,35.09582
ne515i2,175.70752,38.997013
ne515i2,175.70752,34.19813
nne505i1,65.19003,1.7858852
nne505i1,65.19003,1.6590437
nne505i1,65.19003,1.3155634
nne505i1,65.19003,1.5056287
nne505i1,65.19003,1.2449511
nne505i2,176.28671,10.317267
nne505i2,176.28671,9.42191
nne505i2,176.28671,9.326784
nne505i2,176.28671,11.649664
nne505i2,176.28671,10.418583
nne510i1,71.80901,10.39858
nne510i1,71.80901,7.089483
nne510i1,71.80901,16.83209
nne510i1,71.80901,6.014725
nne510i1,71.80901,14.406185
nne510i2,204.33987,26.799492
nne510i2,204.33987,27.061226
nne510i2,204.33987,23.76076
nne510i2,204.33987,25.720875
nne510i2,204.33987,25.352055
nne515i1,83.483086,34.34146
nne515i1,83.483086,27.301702
nne515i1,83.483086,25.844355
nne515i1,83.483086,29.524824
nne515i1,83.483086,30.269081
nne515i2,242.29755,45.16374
nne515i2,242.29755,43.562805
nne515i2,242.29755,43.410393
nne515i2,242.29755,45.836502
nne515i2,242.29755,45.734276
nnw505i1,96.546974,2.2108097
nnw505i1,96.546974,3.4494202
nnw505i1,96.546974,2.802332
nnw505i1,96.546974,1.5925356
nnw505i1,96.546974,1.7627915
nnw505i2,277.2514,28.40178
nnw505i2,277.2514,28.04406
nnw505i2,277.2514,25.236204
nnw505i2,277.2514,28.339268
nnw505i2,277.2514,27.19014
nnw510i1,110.95382,5.6815825
nnw510i1,110.95382,3.6454175
nnw510i1,110.95382,4.646046
nnw510i1,110.95382,4.5906644
nnw510i1,110.95382,5.77765
nnw510i2,307.6255,32.904053
nnw510i2,307.6255,34.16027
nnw510i2,307.6255,33.513058
nnw510i2,307.6255,31.314137
nnw510i2,307.6255,33.767048
nnw515i1,131.12459,5.715337
nnw515i1,131.12459,4.680431
nnw515i1,131.12459,4.7978964
nnw515i1,131.12459,5.4083138
nnw515i1,131.12459,6.1902447
nnw515i2,357.56802,43.66213
nnw515i2,357.56802,43.536594
nnw515i2,357.56802,44.472313
nnw515i2,357.56802,43.6605
nnw515i2,357.56802,44.28823
nw505i1,100.15208,2.739145
nw505i1,100.15208,2.0714524
nw505i1,100.15208,2.6626668
nw505i1,100.15208,1.9786903
nw505i1,100.15208,3.8913035
nw505i2,286.35736,26.890419
nw505i2,286.35736,29.268827
nw505i2,286.35736,27.883535
nw505i2,286.35736,28.93307
nw505i2,286.35736,29.635736
nw510i1,118.431496,4.0476737
nw510i1,118.431496,4.145641
nw510i1,118.431496,2.3868244
nw510i1,118.431496,3.2352057
nw510i1,118.431496,2.7060251
nw510i2,313.60703,32.978848
nw510i2,313.60703,30.985266
nw510i2,313.60703,30.987047
nw510i2,313.60703,30.648376
nw510i2,313.60703,30.98442
nw515i1,144.52118,6.445843
nw515i1,144.52118,5.4117093
nw515i1,144.52118,5.294038
nw515i1,144.52118,5.638832
nw515i1,144.52118,5.157224
nw515i2,368.74042,47.42637
nw515i2,368.74042,47.224014
nw515i2,368.74042,47.643826
nw515i2,368.74042,48.312054
nw515i2,368.74042,46.759975
w505i1,77.119736,1.6614132
w505i1,77.119736,1.2380038
w505i1,77.119736,1.4215559
w505i1,77.119736,1.3586249
w505i1,77.119736,1.204304
w505i2,207.65262,14.366437
w505i2,207.65262,15.215657
w505i2,207.65262,13.049286
w505i2,207.65262,14.715555
w505i2,207.65262,13.3064375
w510i1,94.51784,4.478791
w510i1,94.51784,2.8599641
w510i1,94.51784,3.0119548
w510i1,94.51784,2.4696283
w510i1,94.51784,2.9666622
w510i2,225.46692,14.715726
w510i2,225.46692,14.022482
w510i2,225.46692,13.571989
w510i2,225.46692,14.34302
w510i2,225.46692,14.611027
w515i1,101.5779,10.085018
w515i1,101.5779,5.090989
w515i1,101.5779,7.226602
w515i1,101.5779,8.757517
w515i1,101.5779,6.3878303
w515i2,261.507,22.74156
w515i2,261.507,21.521973
w515i2,261.507,22.275097
w515i2,261.507,21.565523
w515i2,261.507,21.843176
wnw505i1,92.38105,2.257558
wnw505i1,92.38105,3.63216
wnw505i1,92.38105,2.0870175
wnw505i1,92.38105,1.5855798
wnw505i1,92.38105,2.4362624
wnw505i2,257.0785,22.894293
wnw505i2,257.0785,23.105902
wnw505i2,257.0785,22.040129
wnw505i2,257.0785,22.41216
wnw505i2,257.0785,22.015541
wnw510i1,110.49987,2.1401045
wnw510i1,110.49987,2.8859959
wnw510i1,110.49987,2.6358669
wnw510i1,110.49987,2.6707618
wnw510i1,110.49987,2.8434832
wnw510i2,278.74237,22.284952
wnw510i2,278.74237,21.567259
wnw510i2,278.74237,23.100492
wnw510i2,278.74237,22.562792
wnw510i2,278.74237,23.445814
wnw515i1,130.01079,4.5900593
wnw515i1,130.01079,4.638053
wnw515i1,130.01079,4.194715
wnw515i1,130.01079,4.122959
wnw515i1,130.01079,3.7135491
wnw515i2,329.05594,35.75645
wnw515i2,329.05594,37.066704
wnw515i2,329.05594,34.22938
wnw515i2,329.05594,35.27203
wnw515i2,329.05594,36.354588
wsw505i1,58.58866,2.6630123
wsw505i1,58.58866,3.1583025
wsw505i1,58.58866,1.9348229
wsw505i1,58.58866,1.7822492
wsw505i1,58.58866,3.6957424
wsw505i2,156.2735,8.796459
wsw505i2,156.2735,10.025127
wsw505i2,156.2735,9.629207
wsw505i2,156.2735,8.25687
wsw505i2,156.2735,9.553754
wsw510i1,65.5382,8.503887
wsw510i1,65.5382,7.6762576
wsw510i1,65.5382,10.119133
wsw510i1,65.5382,11.77179
wsw510i1,65.5382,8.854444
wsw510i2,172.7116,13.226255
wsw510i2,172.7116,16.443697
wsw510i2,172.7116,16.511768
wsw510i2,172.7116,14.123881
wsw510i2,172.7116,14.154733
wsw515i1,75.30873,29.170313
wsw515i1,75.30873,27.30981
wsw515i1,75.30873,24.5846
wsw515i1,75.30873,26.293793
wsw515i1,75.30873,27.744259
wsw515i2,210.02133,37.170124
wsw515i2,210.02133,39.961952
wsw515i2,210.02133,38.68071
wsw515i2,210.02133,39.657635
wsw515i2,210.02133,41.403328
